year,Brazil,Russia,India,China,South Africa,United States
2000,48.95297,177.75335,13.24989,31.4685,101.71578,350.20416
2001,47.78927,175.66948,13.52257,32.42302,101.96284,337.46887
2002,47.73233,183.21087,13.13655,34.03191,98.43929,339.48746
2003,47.78749,189.40043,13.35042,38.94003,104.71121,337.61021
2004,48.93927,195.45684,14.26428,44.86047,110.88106,342.0731
2005,50.25623,194.62656,14.96965,49.46962,107.83603,339.34309
2006,51.51575,193.99994,15.91784,53.96891,110.32818,333.899
2007,53.22689,200.79186,16.73585,57.12489,112.14774,336.34413
2008,52.68423,208.07238,17.24824,59.98329,118.30442,326.51774
2009,53.73497,188.46397,18.71032,65.73054,114.43677,308.36043
2010,57.69613,208.55993,19.36064,71.97437,114.05031,316.86657